postcode,dogs,town
BR1,0.169394796,bromley
BR2,0.141986788,bromley
BR3,0.12633111,beckenham
BR5,0.259343962,orpington
BR6,0.318031883,orpington
BR7,0.172330328,chislehurst
DA1,0.268935221,dartford
DA10,0.297217423,dartford
DA11,0.415555775,dartford
DA12,0.075160653,dartford
DA13,0.848472481,dartford
DA14,0.808853695,sidcup
DA15,0.193473589,sidcup
DA16,0.152575795,dartford
DA17,0.135319701,dartford
DA18,0.131040485,dartford
DA2,0.324321922,dartford
SE12,0.116801371,lee
SE6,0.10672591,bellingham
SE9,0.157698934,mottingham
TN1,0.336823126,tunbridge wells
TN10,0.077337191,tunbridge wells
TN11,0.28900892,tunbridge wells
TN12,1.479326522,tunbridge wells
TN13,0.625544698,sevenoaks
TN14,0.921144792,sevenoaks
TN15,0.753417349,sevenoaks
TN16,0.684372858,tunbridge wells
TN17,1.597369451,tunbridge wells
TN18,0.754263319,tunbridge wells
TN19,0.988954172,tunbridge wells
TN2,0.409884261,tunbridge wells
TN20,0.448072501,tunbridge wells
TN21,0.99573924,tunbridge wells
TN22,0.770913519,tunbridge wells
TN23,0.446878651,tunbridge wells
TN24,0.355667389,tunbridge wells
TN25,0.598836293,tunbridge wells
TN26,0.425620307,tunbridge wells
TN27,1.090396074,tunbridge wells
TN28,0.715649827,tunbridge wells
TN29,0.722743608,tunbridge wells
TN3,0.300797693,tunbridge wells
TN30,1.072569564,tunbridge wells
TN31,0.670962092,tunbridge wells
TN32,1.319816989,tunbridge wells
TN33,1.061883337,tunbridge wells
TN34,0.216996842,tunbridge wells
TN35,0.243741441,tunbridge wells
TN36,0.384608485,tunbridge wells
TN37,0.279298844,tunbridge wells
TN38,0.2485581,tunbridge wells
TN39,0.423552878,tunbridge wells
TN4,0.36676167,tunbridge wells
TN40,0.372677046,tunbridge wells
